time,objective_score
46.149,0.7128654970760234
46.727,0.724561403508772
47.289,0.7233918128654971
47.811,0.7456140350877194
48.399,0.7573099415204678
48.968,0.8005847953216373
49.515,0.7573099415204678
50.055,0.7900584795321637
50.617,0.7684210526315789
51.183,0.7695906432748538
51.706,0.7801169590643275
52.260,0.7672514619883041
52.837,0.7684210526315789
53.395,0.8005847953216374
53.934,0.7789473684210526
54.487,0.8005847953216374
55.060,0.8011695906432749
55.620,0.8011695906432749
56.177,0.7795321637426901
56.725,0.8017543859649123
57.277,0.7906432748538011
57.796,0.8011695906432749
58.377,0.77953216374269
58.927,0.7900584795321638
59.479,0.7894736842105263
00.033,0.8017543859649123
00.628,0.8023391812865496
01.171,0.7912280701754386
01.721,0.8122807017543859
02.335,0.8122807017543859
02.909,0.8017543859649123
03.517,0.8017543859649121
04.158,0.7906432748538011
04.789,0.823391812865497
05.408,0.8011695906432749
05.988,0.8122807017543859
06.597,0.8122807017543859
07.191,0.8228070175438595
07.770,0.7900584795321637
08.378,0.8122807017543859
08.965,0.8011695906432749
09.530,0.823391812865497
10.089,0.77953216374269
10.656,0.8239766081871345
11.253,0.8122807017543859
11.872,0.8128654970760234
12.474,0.8122807017543859
13.132,0.8122807017543859
13.682,0.8011695906432749
14.254,0.8122807017543859
14.837,0.8345029239766081
15.393,0.8228070175438595
15.947,0.8350877192982455
16.582,0.8122807017543859
17.173,0.8011695906432749
17.722,0.8128654970760234
18.291,0.8128654970760234
18.880,0.8011695906432749
19.460,0.8450292397660819
20.026,0.8122807017543859
20.642,0.8128654970760234
21.218,0.8339181286549706
21.760,0.8450292397660819
22.321,0.8017543859649121
22.898,0.8228070175438595
23.446,0.823391812865497
23.985,0.8339181286549706
24.554,0.8128654970760234
25.142,0.8345029239766081
25.707,0.8450292397660817
26.259,0.8345029239766081
26.836,0.823391812865497
27.397,0.823391812865497
27.938,0.8345029239766081
28.529,0.8116959064327485
29.106,0.8450292397660817
29.667,0.823391812865497
30.250,0.8450292397660817
30.827,0.8339181286549706
31.424,0.8228070175438595
31.991,0.8239766081871345
32.552,0.823391812865497
33.103,0.8228070175438595
33.655,0.8116959064327485
34.180,0.823391812865497
34.733,0.8345029239766081
35.289,0.8122807017543859
35.784,0.8239766081871345
36.341,0.8128654970760234
36.901,0.8345029239766081
37.447,0.856140350877193
37.971,0.823391812865497
38.521,0.823391812865497
39.076,0.8122807017543859
39.622,0.8450292397660819
40.175,0.8228070175438595
40.717,0.823391812865497
41.262,0.856140350877193
41.788,0.8128654970760234
42.360,0.823391812865497
