time,objective_score
11.642,0.7128654970760233
12.196,0.712280701754386
12.772,0.7233918128654971
13.330,0.7456140350877193
13.858,0.7239766081871345
14.400,0.7456140350877194
14.976,0.7456140350877194
15.528,0.7678362573099415
16.062,0.7573099415204678
16.606,0.7461988304093568
17.151,0.7456140350877194
17.691,0.7456140350877193
18.275,0.7567251461988305
18.902,0.8011695906432749
19.521,0.7567251461988305
20.097,0.77953216374269
20.667,0.7789473684210526
21.246,0.7900584795321637
21.754,0.7684210526315789
22.325,0.8017543859649123
22.899,0.7900584795321637
23.516,0.7900584795321638
24.081,0.7795321637426901
24.736,0.77953216374269
25.368,0.8128654970760234
25.945,0.8350877192982455
26.537,0.7900584795321638
27.110,0.8017543859649121
27.672,0.8011695906432749
28.218,0.8011695906432749
28.781,0.8011695906432749
29.340,0.7906432748538011
29.890,0.780701754385965
30.454,0.8122807017543859
31.035,0.8128654970760234
31.589,0.8122807017543859
32.142,0.8017543859649123
32.735,0.8017543859649123
33.314,0.8017543859649123
33.846,0.8023391812865498
34.399,0.8345029239766083
34.995,0.8011695906432749
35.556,0.8128654970760234
36.103,0.8011695906432749
36.679,0.8128654970760234
37.288,0.8017543859649123
37.829,0.8239766081871345
38.389,0.8122807017543859
38.966,0.8017543859649123
39.542,0.8128654970760234
40.098,0.8128654970760234
40.677,0.823391812865497
41.284,0.8128654970760234
41.843,0.8122807017543859
42.422,0.823391812865497
42.991,0.8567251461988304
43.594,0.8128654970760234
44.149,0.8245614035087719
44.727,0.823391812865497
45.340,0.8350877192982455
45.904,0.8233918128654972
46.471,0.8239766081871345
47.042,0.8122807017543859
47.631,0.8122807017543859
48.182,0.8128654970760234
48.786,0.8345029239766081
49.375,0.8456140350877192
49.947,0.8122807017543859
50.509,0.8128654970760234
51.091,0.8345029239766081
51.678,0.8011695906432749
52.281,0.8233918128654972
52.900,0.8122807017543859
53.532,0.8134502923976609
54.173,0.823391812865497
54.785,0.8128654970760234
55.395,0.8017543859649123
55.974,0.823391812865497
56.537,0.823391812865497
57.217,0.8345029239766081
57.864,0.823391812865497
58.526,0.8239766081871345
59.162,0.823391812865497
59.782,0.8456140350877194
00.405,0.8456140350877192
01.050,0.8122807017543859
01.761,0.823391812865497
02.413,0.823391812865497
03.066,0.8128654970760234
03.671,0.8122807017543859
04.243,0.8350877192982455
04.852,0.823391812865497
05.453,0.8239766081871345
06.038,0.823391812865497
06.631,0.8128654970760234
07.228,0.8345029239766081
07.793,0.8345029239766081
08.390,0.8128654970760234
08.976,0.8122807017543859
09.560,0.8233918128654972
