time,objective_score
58.421,0.7461988304093568
59.169,0.7467836257309941
59.792,0.7461988304093568
00.438,0.7801169590643275
01.047,0.7578947368421052
01.644,0.7584795321637426
02.264,0.7678362573099415
03.002,0.7906432748538011
03.746,0.7678362573099415
04.448,0.7690058479532162
05.060,0.823391812865497
05.637,0.7894736842105263
06.205,0.8011695906432749
06.802,0.7900584795321638
07.418,0.7795321637426901
08.062,0.8116959064327485
08.735,0.7906432748538011
09.371,0.8122807017543859
10.008,0.8122807017543859
10.633,0.8011695906432749
11.299,0.8011695906432749
11.914,0.7900584795321637
12.602,0.8011695906432749
13.346,0.8128654970760234
14.003,0.7900584795321637
14.616,0.8017543859649123
15.271,0.8339181286549706
15.822,0.8128654970760234
16.438,0.8450292397660819
17.042,0.8017543859649123
17.629,0.8450292397660817
18.193,0.8122807017543859
18.785,0.823391812865497
19.328,0.823391812865497
19.940,0.8228070175438595
20.509,0.8228070175438595
21.079,0.8345029239766083
21.621,0.8239766081871345
22.110,0.8228070175438595
22.658,0.8239766081871345
23.230,0.8017543859649123
23.838,0.8228070175438595
24.433,0.7900584795321637
25.070,0.8128654970760234
25.683,0.8345029239766081
26.226,0.8339181286549708
26.773,0.8128654970760234
27.389,0.8122807017543859
28.156,0.8128654970760234
28.886,0.8239766081871345
29.600,0.8128654970760234
30.348,0.8122807017543859
30.950,0.8122807017543859
31.619,0.823391812865497
32.188,0.8122807017543859
32.725,0.8128654970760234
33.314,0.8134502923976609
33.861,0.8122807017543859
34.412,0.8122807017543859
34.952,0.8339181286549706
35.498,0.8128654970760234
36.051,0.8011695906432749
36.625,0.823391812865497
37.186,0.8345029239766081
37.757,0.823391812865497
38.347,0.8450292397660817
38.971,0.823391812865497
39.577,0.8345029239766081
40.138,0.8456140350877194
40.726,0.823391812865497
41.304,0.8345029239766081
41.874,0.8345029239766081
42.441,0.8122807017543859
43.038,0.8011695906432749
43.567,0.8122807017543859
44.109,0.8017543859649123
44.653,0.8116959064327485
45.214,0.8239766081871345
45.735,0.8122807017543859
46.311,0.7906432748538011
46.922,0.8456140350877194
47.522,0.823391812865497
48.098,0.8017543859649123
48.662,0.8122807017543859
49.227,0.8350877192982455
49.775,0.8122807017543859
50.364,0.8239766081871345
50.966,0.8122807017543859
51.578,0.8239766081871345
52.113,0.823391812865497
52.676,0.8339181286549706
53.251,0.8017543859649123
53.770,0.8345029239766081
54.311,0.8128654970760234
54.865,0.823391812865497
55.494,0.823391812865497
56.036,0.823391812865497
56.596,0.8456140350877192
57.150,0.8567251461988304
57.697,0.8239766081871345
