time,objective_score
38.034,0.7345029239766083
38.478,0.7350877192982457
38.947,0.7578947368421053
39.476,0.7461988304093568
39.989,0.7684210526315789
40.457,0.7573099415204678
40.925,0.7461988304093568
41.400,0.7894736842105263
41.898,0.7578947368421053
42.356,0.7900584795321637
42.817,0.7578947368421052
43.265,0.7789473684210526
43.730,0.8011695906432749
44.201,0.7912280701754386
44.663,0.8122807017543859
45.139,0.7900584795321637
45.611,0.7906432748538011
46.076,0.823391812865497
46.551,0.8017543859649123
46.990,0.8005847953216374
47.441,0.7900584795321637
47.910,0.7789473684210526
48.379,0.823391812865497
48.829,0.8567251461988302
49.301,0.7906432748538011
49.746,0.8122807017543859
50.212,0.8011695906432749
50.663,0.8122807017543859
51.115,0.8122807017543859
51.559,0.8011695906432749
52.033,0.8011695906432749
52.485,0.8345029239766081
52.958,0.8128654970760234
53.394,0.8011695906432749
53.863,0.8122807017543859
54.356,0.8122807017543859
54.812,0.823391812865497
55.245,0.8017543859649123
55.671,0.8345029239766081
56.121,0.8017543859649123
56.595,0.8345029239766081
57.046,0.8023391812865496
57.507,0.8128654970760234
57.951,0.823391812865497
58.445,0.8239766081871345
58.924,0.823391812865497
59.364,0.8017543859649123
59.829,0.8567251461988304
00.281,0.8122807017543859
00.728,0.823391812865497
01.174,0.8345029239766081
01.643,0.823391812865497
02.120,0.8456140350877192
02.579,0.8239766081871345
03.047,0.8345029239766081
03.501,0.823391812865497
03.953,0.8461988304093566
04.410,0.823391812865497
04.871,0.8345029239766081
05.312,0.8128654970760234
05.776,0.8345029239766081
06.233,0.8345029239766083
06.700,0.823391812865497
07.145,0.8239766081871345
07.584,0.8345029239766081
08.027,0.8345029239766081
08.480,0.8128654970760234
08.950,0.8461988304093568
09.412,0.823391812865497
09.874,0.823391812865497
10.364,0.8345029239766081
10.831,0.8345029239766081
11.317,0.8245614035087719
11.763,0.8345029239766081
12.242,0.8239766081871345
12.699,0.8239766081871345
13.162,0.823391812865497
13.618,0.8245614035087719
14.087,0.8345029239766081
14.556,0.8456140350877192
15.019,0.8350877192982455
15.481,0.823391812865497
15.936,0.8345029239766081
16.389,0.8456140350877192
16.856,0.823391812865497
17.314,0.8456140350877194
17.777,0.8345029239766081
18.230,0.8122807017543859
18.698,0.8345029239766081
19.168,0.823391812865497
19.613,0.8345029239766081
20.077,0.823391812865497
20.555,0.823391812865497
20.994,0.823391812865497
21.467,0.823391812865497
21.915,0.823391812865497
22.390,0.8461988304093566
22.855,0.8345029239766081
23.312,0.8345029239766081
23.780,0.823391812865497
